SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
O[C@H](COCC=C)C1=NNC(=O)/C/1=C\C(=O)C,1/000000973,"InChI=1S/C11H14N2O4/c1-3-4-17-6-9(15)10-8(5-7(2)14)11(16)13-12-10/h3,5,9,15H,1,4,6H2,2H3,(H,13,16)/b8-5-/t9-/m1/s1",C11H14N2O4,238,-0.3,4.56,8.56,3.58,-170,4.053287712960584,1
Oc1ccc(cc1[C@@H](c1nc([nH]c1)S)O)Cl,11/000000023,"InChI=1S/C10H9ClN2O2S/c11-5-1-2-8(14)6(3-5)9(15)7-4-12-10(16)13-7/h1-4,9,14-15H,(H2,12,13,16)/t9-/m0/s1",C10H9N2O2SCl,256,1.65,4.56,4.71,2.22,-150,3.6422732245893688,1
Oc1c(OC(=O)c2nnc([nH]2)CCC)ccc(c1)CS(=O)=O,17/000000433,"InChI=1S/C13H15N3O5S/c1-2-3-11-14-12(16-15-11)13(18)21-10-5-4-8(6-9(10)17)7-22(19)20/h4-6,17,22H,2-3,7H2,1H3,(H,14,15,16)",C13H15N3O5S,325,1.99,4.56,-1.62,23.6,-60,3.5927798515121037,1
Oc1c(OC(=O)c2nnn[nH]2)ccc(c1)CC,17/000001438,"InChI=1S/C10H10N4O3/c1-2-6-3-4-8(7(15)5-6)17-10(16)9-11-13-14-12-9/h3-5,15H,2H2,1H3,(H,11,12,13,14)",C10H10N4O3,234,0.8,4.56,-2.81,2.22,-40,2.753489658763634,1
Oc1c(OC(=O)c2ncoc2)ccc(c1NC(=O)N)Cl,17/000001225,"InChI=1S/C11H8ClN3O5/c12-5-1-2-7(9(16)8(5)15-11(13)18)20-10(17)6-3-19-4-14-6/h1-4,16H,(H3,13,15,18)",C11H8N3O5Cl,297,0.27,4.56,-2.78,3.58,0,2.9141770541326952,1
Sc1c(/C=C/C=C/[C@@H](CCl)O)cc(cc1ON)Br,15/000000240,"InChI=1S/C12H13BrClNO2S/c13-9-5-8(12(18)11(6-9)17-15)3-1-2-4-10(16)7-14/h1-6,10,16,18H,7,15H2/b3-1+,4-2+/t10-/m0/s1",C12H13NO2SClBr,350,2.66,4.56,-6.66,2.35,-190,4.131826189218966,1
ONCC(=O)Cc1nnc(s1)c1ccccc1,1/000000307,"InChI=1S/C11H11N3O2S/c15-9(7-12-16)6-10-13-14-11(17-10)8-4-2-1-3-5-8/h1-5,12,16H,6-7H2",C11H11N3O2S,249,1.77,4.56,-2.98,19.1,-140,2.538290757664731,1
Oc1c(OC(=O)c2nnc[nH]2)cccc1C(F)F,17/000001097,"InChI=1S/C10H7F2N3O3/c11-8(12)5-2-1-3-6(7(5)16)18-10(17)9-13-4-14-15-9/h1-4,8,16H,(H,13,14,15)",C10H7N3O3F2,255,2.62,4.56,-0.97,21.7,-150,3.1715954259919155,1
Oc1c(OC(=O)C(=O)O)ccc(c1)OCCC=C,17/000000960,"InChI=1S/C12H12O6/c1-2-3-6-17-8-4-5-10(9(13)7-8)18-12(16)11(14)15/h2,4-5,7,13H,1,3,6H2,(H,14,15)",C12H11O6,251,1.04,4.55,-5.85,3.58,-60,2.3952650335272363,1
Sc1scc(n1)c1cccc(c1O)OC(=O)c1nnc[nH]1,17/000000382,"InChI=1S/C12H8N4O3S2/c17-9-6(7-4-21-12(20)15-7)2-1-3-8(9)19-11(18)10-13-5-14-16-10/h1-5,17H,(H,15,20)(H,13,14,16)",C12H8N4O3S2,320,3.0,4.55,-2.49,3.58,-140,3.474313620432169,1
O[P@@H](=O)Oc1ccc(c(c1)CO)c1oc(nc1CC)CF,17/000001625,"InChI=1S/C13H15FNO5P/c1-2-11-13(19-12(6-14)15-11)10-4-3-9(20-21(17)18)5-8(10)7-16/h3-5,16,21H,2,6-7H2,1H3,(H,17,18)",C13H15NO5PF,315,0.77,4.55,-3.56,22.3,-180,4.122444038831634,1
