SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1c(I)nc(cc1)[C@@H](NC)N,30/000000290,"InChI=1S/C7H10IN3O/c1-10-7(9)4-2-3-5(12)6(8)11-4/h2-3,7,10,12H,9H2,1H3/t7-/m1/s1",C7H10N3OI,279,0.59,4.03,8.5,9.9,-170,3.9960547284810417,1
O=C(CONCc1nnc([nH]1)CC)N,17/000000126,"InChI=1S/C7H13N5O2/c1-2-6-10-7(12-11-6)3-9-14-4-5(8)13/h9H,2-4H2,1H3,(H2,8,13)(H,10,11,12)",C7H13N5O2,199,0.26,4.03,-1.75,2.22,-20,3.5684770353962803,1
Oc1ccc(cc1)c1cc[nH]c1C(=O)OCC[NH3+],17/000000115,"InChI=1S/C13H14N2O3/c14-6-8-18-13(17)12-11(5-7-15-12)9-1-3-10(16)4-2-9/h1-5,7,15-16H,6,8,14H2/p+1",C13H15N2O3,247,1.44,4.02,-3.84,3.58,-160,3.0134905391140876,1
Sc1c(OCCOC(=O)c2c[nH]cc2)cncc1Br,3/000000100,"InChI=1S/C12H11BrN2O3S/c13-9-6-15-7-10(11(9)19)17-3-4-18-12(16)8-1-2-14-5-8/h1-2,5-7,14H,3-4H2,(H,15,19)",C12H11N2O3SBr,343,2.32,4.02,2.75,3.58,0,3.0659412512168247,1
Oc1cc(O)c(nc1CN)I,30/000000221,"InChI=1S/C6H7IN2O2/c7-6-5(11)1-4(10)3(2-8)9-6/h1,10-11H,2,8H2",C6H7N2O2I,266,0.33,4.02,7.99,9.1,0,3.388504845581049,1
Sc1nnc(o1)C#Cc1cc(ccc1I)CC(=O)N,5/000000001,"InChI=1S/C12H8IN3O2S/c13-9-3-1-7(6-10(14)17)5-8(9)2-4-11-15-16-12(19)18-11/h1,3,5H,6H2,(H2,14,17)(H,16,19)",C12H8N3O2SI,385,3.71,4.02,-4.53,24.2,-62,3.5146913237857653,1
OC[C@@H](C1=CCC=C(N1)CN)c1ccc(cc1)S(=O)(=O)N,26/000000001,"InChI=1S/C14H19N3O3S/c15-8-11-2-1-3-14(17-11)13(9-18)10-4-6-12(7-5-10)21(16,19)20/h2-7,13,17-18H,1,8-9,15H2,(H2,16,19,20)/t13-/m1/s1",C14H19N3O3S,309,-0.27,4.02,-6.03,20.5,-170,3.6577360812719517,1
S[C@H](c1n[nH]nc1)NC1=NCC(=O)N1,9/000000025,"InChI=1S/C6H8N6OS/c13-4-2-7-6(9-4)10-5(14)3-1-8-12-11-3/h1,5,14H,2H2,(H,8,11,12)(H2,7,9,10,13)/t5-/m1/s1",C6H8N6OS,212,-0.01,4.02,1.3,21.0,-150,4.4449582719961125,1
OC(=O)c1c(C#CCCF)cc(c(c1)O)CC,17/000000276,"InChI=1S/C13H13FO3/c1-2-9-7-10(5-3-4-6-14)11(13(16)17)8-12(9)15/h7-8,15H,2,4,6H2,1H3,(H,16,17)",C13H13O3F,236,3.05,4.01,-7.46,16.7,-60,2.8512134045830315,1
Oc1c(Br)cc(c(c1)S(=O)(=O)NN)C1=CC(=O)C=CC1,17/000000224,"InChI=1S/C12H11BrN2O4S/c13-10-5-9(7-2-1-3-8(16)4-7)12(6-11(10)17)20(18,19)15-14/h1,3-6,15,17H,2,14H2",C12H11N2O4SBr,359,0.79,4.01,-6.53,21.8,-200,3.3359516928273347,1
N(C[C@@H]([NH3+])F)NCCc1nnc[nH]1,28/000000001,"InChI=1S/C6H13FN6/c7-5(8)3-11-10-2-1-6-9-4-12-13-6/h4-5,10-11H,1-3,8H2,(H,9,12,13)/p+1/t5-/m1/s1",C6H14N6F,189,1.02,4.01,-0.09,2.22,-150,4.92129666708203,1
Oc1c(Br)c(OC)cc(c1)CNC(=O)[C@@H](CS)O,17/000000221,"InChI=1S/C11H14BrNO4S/c1-17-9-3-6(2-7(14)10(9)12)4-13-11(16)8(15)5-18/h2-3,8,14-15,18H,4-5H2,1H3,(H,13,16)/t8-/m1/s1",C11H14NO4SBr,336,1.47,4.01,-0.76,5.09,-190,3.1440098430651204,1
OC(=O)c1c(C(=O)NC)cc(c(c1)O)CC,17/000000092,"InChI=1S/C11H13NO4/c1-3-6-4-7(10(14)12-2)8(11(15)16)5-9(6)13/h4-5,13H,3H2,1-2H3,(H,12,14)(H,15,16)",C11H13NO4,223,1.12,4.01,-6.68,2.22,-80,2.1649858379856948,1
O[C@@H](c1nnc(o1)S)C(=O)CCl,30/000000013,"InChI=1S/C5H5ClN2O3S/c6-1-2(9)3(10)4-7-8-5(12)11-4/h3,10H,1H2,(H,8,12)/t3-/m1/s1",C5H5N2O3SCl,208,0.28,4.01,4.16,2.22,-150,4.199355209250273,1
ONC/C=C\CC[C@@H]1NC(=O)C1,18/000000005,"InChI=1S/C8H14N2O2/c11-8-6-7(10-8)4-2-1-3-5-9-12/h1,3,7,9,12H,2,4-6H2,(H,10,11)/b3-1-/t7-/m0/s1",C8H14N2O2,170,0.04,4.01,8.73,2.22,-150,3.7854362407188047,1
Sc1nnc(o1)[C@H](CCCCCC(=C)C)S,30/000000123,"InChI=1S/C11H18N2OS2/c1-8(2)6-4-3-5-7-9(15)10-12-13-11(16)14-10/h9,15H,1,3-7H2,2H3,(H,13,16)/t9-/m0/s1",C11H18N2OS2,258,3.63,4.0,2.36,2.22,-170,3.947461336477481,1
[nH]1c(C#CCc2nnc([nH]2)CNCCCN)ccc1,17/000000008,"InChI=1S/C13H18N6/c14-7-3-8-15-10-13-17-12(18-19-13)6-1-4-11-5-2-9-16-11/h2,5,9,15-16H,3,6-8,10,14H2,(H,17,18,19)",C13H18N6,258,1.39,4.0,-2.81,22.8,-40,3.6565066358322094,1
