SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Sc1nnc(n1CSCN)c1ccccc1,1/000000002,"InChI=1S/C10H12N4S2/c11-6-16-7-14-9(12-13-10(14)15)8-4-2-1-3-5-8/h1-5H,6-7,11H2,(H,13,15)",C10H12N4S2,252,3.17,4.6,-3.94,17.2,-180,2.8093792445791017,1
OC(=O)CCCc1nccc(n1)NCC#CCO,6/000000078,"InChI=1S/C12H15N3O3/c16-9-2-1-7-13-11-6-8-14-10(15-11)4-3-5-12(17)18/h6,8,16H,3-5,7,9H2,(H,17,18)(H,13,14,15)",C12H15N3O3,249,-0.23,4.6,10.16,3.58,0,2.8120344305168015,1
Oc1c(Cl)c(/C(=C(\[C@@H]2ON=CC2)/N)/c2noc(c2)CCN)ccc1Cl,21/000000015,"InChI=1S/C16H16Cl2N4O3/c17-10-2-1-9(14(18)16(10)23)13(15(20)12-4-6-21-25-12)11-7-8(3-5-19)24-22-11/h1-2,6-7,12,23H,3-5,19-20H2/b15-13-/t12-/m1/s1",C16H16N4O3Cl2,382,3.01,4.6,-6.28,3.58,-170,4.1366461752278685,1
OCc1nnc(o1)[C@@](C)(NN)Br,17/000000049,"InChI=1S/C5H9BrN4O2/c1-5(6,10-7)4-9-8-3(2-11)12-4/h10-11H,2,7H2,1H3/t5-/m1/s1",C5H9N4O2Br,237,0.0,4.59,0.62,15.9,-170,4.175907613096427,1
Sc1ccc(c2c1COC2=O)Nc1nccc(n1)CCN,19/000000007,"InChI=1S/C14H14N4O2S/c15-5-3-8-4-6-16-14(17-8)18-10-1-2-11(21)9-7-20-13(19)12(9)10/h1-2,4,6,21H,3,5,7,15H2,(H,16,17,18)",C14H14N4O2S,302,1.04,4.58,-5.86,3.58,-40,3.041579774278323,1
OCC#CCNc1nc(ncc1)CCCNOCCC(=O)NC,6/000000108,"InChI=1S/C15H23N5O3/c1-16-15(22)7-12-23-19-9-4-5-13-18-10-6-14(20-13)17-8-2-3-11-21/h6,10,19,21H,4-5,7-9,11-12H2,1H3,(H,16,22)(H,17,18,20)",C15H23N5O3,321,-0.29,4.58,7.02,4.94,-110,3.191199912833974,1
Nc1ccc(c(c1)N(=O)=O)C#C[C@@H](Cc1cnc[nH]1)S=O,5/000000005,"InChI=1S/C13H12N4O3S/c14-10-3-1-9(13(5-10)17(18)19)2-4-12(21-20)6-11-7-15-8-16-11/h1,3,5,7-8,12,21H,6,14H2,(H,15,16)/t12-/m0/s1",C13H12N4O3S,304,-0.38,4.57,0.26,24.9,-170,4.095741476227669,1
OCc1c(I)ccc(c1)Sc1nc(c[nH]1)C(N)N,18/000000015,"InChI=1S/C11H13IN4OS/c12-8-2-1-7(3-6(8)5-17)18-11-15-4-9(16-11)10(13)14/h1-4,10,17H,5,13-14H2,(H,15,16)",C11H13N4OSI,376,1.33,4.56,-6.34,18.5,-190,3.5701708106072996,1
O[C@@H](c1nnc[nH]1)/C=C/c1ccc[nH]1,24/000000025,"InChI=1S/C9H10N4O/c14-8(9-11-6-12-13-9)4-3-7-2-1-5-10-7/h1-6,8,10,14H,(H,11,12,13)/b4-3+/t8-/m1/s1",C9H10N4O,190,1.24,4.56,6.35,2.22,-150,4.258119116273786,1
OCC#CCNc1nc(ncc1)CCC1=CNOC1,6/000000064,"InChI=1S/C13H16N4O2/c18-8-2-1-6-14-13-5-7-15-12(17-13)4-3-11-9-16-19-10-11/h5,7,9,16,18H,3-4,6,8,10H2,(H,14,15,17)",C13H16N4O2,260,-0.07,4.56,10.44,3.58,0,3.777057185282759,1
OCC#CCNCCNOCC,6/000000088,"InChI=1S/C8H16N2O2/c1-2-12-10-7-6-9-5-3-4-8-11/h9-11H,2,5-8H2,1H3",C8H16N2O2,172,0.02,4.56,7.48,2.22,-20,3.2941157695526346,1
NN[C@](CC)(c1nc(n[nH]1)CN)C=C,17/000000015,"InChI=1S/C8H16N6/c1-3-8(4-2,14-10)7-11-6(5-9)12-13-7/h3,14H,1,4-5,9-10H2,2H3,(H,11,12,13)/t8-/m1/s1",C8H16N6,196,-0.36,4.55,1.96,16.5,-170,4.5365152355588645,1
OCC#CCNc1nc(ncc1)CCCNOC[C@@H]1NCCC1,6/000000184,"InChI=1S/C16H25N5O2/c22-12-2-1-8-18-16-7-11-19-15(21-16)6-4-10-20-23-13-14-5-3-9-17-14/h7,11,14,17,20,22H,3-6,8-10,12-13H2,(H,18,19,21)/t14-/m1/s1",C16H25N5O2,319,0.54,4.55,6.26,4.94,-150,3.795304834843418,1
OCc1cnc(cc1)NCCOC(=O)[C@H](c1n[nH]c(=S)[nH]1)OCC,13/000000042,"InChI=1S/C14H19N5O4S/c1-2-22-11(12-17-14(24)19-18-12)13(21)23-6-5-15-10-4-3-9(8-20)7-16-10/h3-4,7,11,20H,2,5-6,8H2,1H3,(H,15,16)(H2,17,18,19,24)/t11-/m0/s1",C14H19N5O4S,353,0.75,4.55,4.73,5.09,-170,3.594773431470463,1
Sc1n[nH]c(n1)CC#Cc1c(S)cccc1N(=O)=O,1/000000013,"InChI=1S/C11H8N4O2S2/c16-15(17)8-4-2-5-9(18)7(8)3-1-6-10-12-11(19)14-13-10/h2,4-5,18H,6H2,(H2,12,13,14,19)",C11H8N4O2S2,292,3.33,4.54,-3.79,24.4,-40,3.554414110433079,1
O=C(NC/C=C/[C@H]1C(=O)NC1)C1=CCCCO1,30/000000001,"InChI=1S/C12H16N2O3/c15-11-9(8-14-11)4-3-6-13-12(16)10-5-1-2-7-17-10/h3-5,9H,1-2,6-8H2,(H,13,16)(H,14,15)/b4-3+/t9-/m1/s1",C12H16N2O3,236,0.03,4.54,3.93,2.22,-150,3.940314707704969,1
