SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1c(O)cc(c(c1)C=C)CC(=O)OCCC/C=C/C,28/000000449,"InChI=1S/C16H20O4/c1-3-5-6-7-8-20-16(19)11-13-10-15(18)14(17)9-12(13)4-2/h3-5,9-10,17-18H,2,6-8,11H2,1H3/b5-3+",C16H20O4,276,2.92,4.04,-0.89,3.58,-40,2.8252016695173126,1
c1nnc(s1)Sc1ccc(c2c1c(=O)[nH]nn2)CCCN,13/000000006,"InChI=1S/C12H12N6OS2/c13-5-1-2-7-3-4-8(21-12-17-14-6-20-12)9-10(7)15-18-16-11(9)19/h3-4,6H,1-2,5,13H2,(H,15,16,19)",C12H12N6OS2,320,2.09,4.04,-8.72,3.58,-140,3.28078838714087,1
Oc1c(O)cc(c(c1)C=C)C/C=C/C=S,28/000000355,"InChI=1S/C12H12O2S/c1-2-9-7-11(13)12(14)8-10(9)5-3-4-6-15/h2-4,6-8,13-14H,1,5H2/b4-3+",C12H12O2S,220,2.09,4.04,-2.52,2.22,0,3.5663710174905967,1
Oc1cc(C(=O)N)cc(c1Cl)Cl,17/000000020,"InChI=1S/C7H5Cl2NO2/c8-4-1-3(7(10)12)2-5(11)6(4)9/h1-2,11H,(H2,10,12)",C7H5NO2Cl2,205,1.75,4.04,-4.89,1.11,-20,2.2549638939140415,1
O[C@@H](CCC)Cc1cc(O)c(cc1C=C)O,28/000000026,"InChI=1S/C13H18O3/c1-3-5-11(14)6-10-8-13(16)12(15)7-9(10)4-2/h4,7-8,11,14-16H,2-3,5-6H2,1H3/t11-/m0/s1",C13H18O3,222,2.25,4.04,-2.83,2.22,-190,3.1639853566433613,1
Oc1c(O)cc(c(c1)C=C)C(=S)c1ccnc2c1ncnc2,28/000000100,"InChI=1S/C16H11N3O2S/c1-2-9-5-13(20)14(21)6-11(9)16(22)10-3-4-18-12-7-17-8-19-15(10)12/h2-8,20-21H,1H2",C16H11N3O2S,309,1.43,4.04,-7.1,17.9,-140,3.105125342298419,1
Oc1c(O)cc(c(c1)C=C)OC(=O)/C=C\c1sccc1,28/000000130,"InChI=1S/C15H12O4S/c1-2-10-8-12(16)13(17)9-14(10)19-15(18)6-5-11-4-3-7-20-11/h2-9,16-17H,1H2/b6-5-",C15H12O4S,288,2.52,4.04,-7.87,5.09,-60,2.7105567294573714,1
Oc1cc(OC(=O)/C=C\C2=CSCN2)c(cc1O)C=C,28/000000203,"InChI=1S/C14H13NO4S/c1-2-9-5-11(16)12(17)6-13(9)19-14(18)4-3-10-7-20-8-15-10/h2-7,15-17H,1,8H2/b4-3-",C14H13NO4S,291,2.24,4.04,-8.36,5.09,-40,3.612670740446383,1
Oc1c(O)cc(c(c1)C=C)C(CO)(F)F,28/000000001,"InChI=1S/C10H10F2O3/c1-2-6-3-8(14)9(15)4-7(6)10(11,12)5-13/h2-4,13-15H,1,5H2",C10H10O3F2,216,1.26,4.04,-3.11,14.8,-150,3.121002941289123,1
Oc1cc(c(cc1O)C=C)C/C=C\CCCC,28/000000209,"InChI=1S/C15H20O2/c1-3-5-6-7-8-9-13-11-15(17)14(16)10-12(13)4-2/h4,7-8,10-11,16-17H,2-3,5-6,9H2,1H3/b8-7-",C15H20O2,232,3.67,4.04,-6.66,2.22,-60,2.853416172675253,1
OC(=O)c1nc(n[nH]1)CN/C=C/CC(=O)OC,21/000000017,"InChI=1S/C9H12N4O4/c1-17-7(14)3-2-4-10-5-6-11-8(9(15)16)13-12-6/h2,4,10H,3,5H2,1H3,(H,15,16)(H,11,12,13)/b4-2+",C9H12N4O4,240,-0.04,4.04,10.93,2.22,-20,3.3916220646556123,1
Oc1cc(C(=O)NC/C=C/C)c(cc1Cl)Cl,17/000000070,"InChI=1S/C11H11Cl2NO2/c1-2-3-4-14-11(16)7-5-10(15)9(13)6-8(7)12/h2-3,5-6,15H,4H2,1H3,(H,14,16)/b3-2+",C11H11NO2Cl2,259,3.19,4.03,-6.4,3.85,-40,2.430055809874272,1
Oc1cc(c(cc1O)C=C)C(=S)[C@@H](CCN)N,28/000000141,"InChI=1S/C12H16N2O2S/c1-2-7-5-10(15)11(16)6-8(7)12(17)9(14)3-4-13/h2,5-6,9,15-16H,1,3-4,13-14H2/t9-/m1/s1",C12H16N2O2S,252,0.4,4.03,-6.27,15.9,-150,3.7082311912214543,1
ONC(=O)C[C@H](c1c(C=C)cc(c(c1)O)O)C=C,28/000000197,"InChI=1S/C13H15NO4/c1-3-8-5-11(15)12(16)7-10(8)9(4-2)6-13(17)14-18/h3-5,7,9,15-16,18H,1-2,6H2,(H,14,17)/t9-/m1/s1",C13H15NO4,249,1.07,4.03,-6.11,15.8,-170,3.731871381526658,1
