SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
SCCC/C=C\Cc1cc(O)c(cc1C=C)O;28/000000117;InChI=1S/C14H18O2S/c1-2-11-9-13(15)14(16)10-12(11)7-5-3-4-6-8-17/h2-3,5,9-10,15-17H,1,4,6-8H2/b5-3-;C14H18O2S;250;3.56;4.22;-8.07;2.22;-20
Oc1c(O)cc(c(c1)C=C)C/C=C\C;28/000000058;InChI=1S/C12H14O2/c1-3-5-6-10-8-12(14)11(13)7-9(10)4-2/h3-5,7-8,13-14H,2,6H2,1H3/b5-3-;C12H14O2;190;2.70;4.16;-3.65;2.22;-40
Sc1nnc(s1)[C@H](NCCO)/C=C\Cc1c(C=C)cc(c(c1)O)O;28/000000479;InChI=1S/C16H19N3O3S2/c1-2-10-8-13(21)14(22)9-11(10)4-3-5-12(17-6-7-20)15-18-19-16(23)24-15/h2-3,5,8-9,12,17,20-22H,1,4,6-7H2,(H,19,23)/b5-3-/t12-/m1/s1;C16H19N3O3S2;365;2.15;4.91;-6.82;5.09;-190
Oc1cc(c(cc1O)C=C)[C@@H](NC)C=C;28/000000509;InChI=1S/C12H15NO2/c1-4-8-6-11(14)12(15)7-9(8)10(5-2)13-3/h4-7,10,13-15H,1-2H2,3H3/t10-/m0/s1;C12H15NO2;205;1.72;4.25;-4.35;11.80;-170
Oc1c(O)cc(c(c1)[C@@H](CP(=O)(O)O)C=C)C=C;28/000000306;InChI=1S/C12H15O5P/c1-3-8-5-11(13)12(14)6-10(8)9(4-2)7-18(15,16)17/h3-6,9,13-14H,1-2,7H2,(H2,15,16,17)/t9-/m1/s1;C12H15O5P;270;0.65;4.24;-4.19;16.60;-150
Oc1c(O)cc(c(c1)C=C)C/C=C\[C@@H](NCCO)c1n[nH]c(=S)o1;28/000000621;InChI=1S/C16H19N3O4S/c1-2-10-8-13(21)14(22)9-11(10)4-3-5-12(17-6-7-20)15-18-19-16(24)23-15/h2-3,5,8-9,12,17,20-22H,1,4,6-7H2,(H,19,24)/b5-3-/t12-/m1/s1;C16H19N3O4S;349;1.65;4.35;-7.48;5.09;-190
OC(=O)CC[C@H](c1c(C=C)cc(c(c1)O)O)C(=O)OCC;28/000000450;InChI=1S/C15H18O6/c1-3-9-7-12(16)13(17)8-11(9)10(5-6-14(18)19)15(20)21-4-2/h3,7-8,10,16-17H,1,4-6H2,2H3,(H,18,19)/t10-/m1/s1;C15H18O6;294;1.59;4.48;-2.50;4.69;-200
Oc1c(O)cc(c(c1)C=C)C/C=C\Cc1n[nH]c(n1)CN;28/000000541;InChI=1S/C15H18N4O2/c1-2-10-7-12(20)13(21)8-11(10)5-3-4-6-14-17-15(9-16)19-18-14/h2-4,7-8,20-21H,1,5-6,9,16H2,(H,17,18,19)/b4-3-;C15H18N4O2;286;1.60;4.51;-6.71;3.58;-40
Oc1cc(c(cc1O)C=C)C/C=C\Cc1n[nH]nc1;28/000000257;InChI=1S/C14H15N3O2/c1-2-10-7-13(18)14(19)8-11(10)5-3-4-6-12-9-15-17-16-12/h2-4,7-9,18-19H,1,5-6H2,(H,15,16,17)/b4-3-;C14H15N3O2;257;3.28;4.20;-6.63;3.58;0
Oc1c(O)cc(c(c1)C/C=C\CCC(=O)CNC)C=C;28/000000427;InChI=1S/C16H21NO3/c1-3-12-9-15(19)16(20)10-13(12)7-5-4-6-8-14(18)11-17-2/h3-5,9-10,17,19-20H,1,6-8,11H2,2H3/b5-4-;C16H21NO3;275;1.62;4.38;-6.20;5.09;-80
Oc1c(O)cc(c(c1)C=C)C/C=C/CN;28/000000338;InChI=1S/C12H15NO2/c1-2-9-7-11(14)12(15)8-10(9)5-3-4-6-13/h2-4,7-8,14-15H,1,5-6,13H2/b4-3+;C12H15NO2;205;1.59;4.72;-2.54;2.22;0
Oc1cc(OC(=O)/C=C/CC(=O)C)c(cc1O)C=C;28/000000127;InChI=1S/C14H14O5/c1-3-10-7-11(16)12(17)8-13(10)19-14(18)6-4-5-9(2)15/h3-4,6-8,16-17H,1,5H2,2H3/b6-4+;C14H14O5;262;1.58;4.11;-6.28;5.09;-40
Oc1c(O)cc(c(c1)C=C)C(=O)CC[C@@H](CCl)n1[nH]ccc1=O;28/000000439;InChI=1S/C16H17ClN2O4/c1-2-10-7-14(21)15(22)8-12(10)13(20)4-3-11(9-17)19-16(23)5-6-18-19/h2,5-8,11,18,21-22H,1,3-4,9H2/t11-/m0/s1;C16H17N2O4Cl;336;2.23;4.53;-5.68;6.45;-170
Oc1c(O)cc(c(c1)C=C)[C@@H](/C=C\C)N=O;28/000000272;InChI=1S/C12H13NO3/c1-3-5-10(13-16)9-7-12(15)11(14)6-8(9)4-2/h3-7,10,14-15H,2H2,1H3/b5-3-/t10-/m1/s1;C12H13NO3;219;2.20;4.50;-4.28;14.60;-170
Oc1cc(C(=S)C(=O)OCC=C)c(cc1O)C=C;28/000000080;InChI=1S/C13H12O4S/c1-3-5-17-13(16)12(18)9-7-11(15)10(14)6-8(9)4-2/h3-4,6-7,14-15H,1-2,5H2;C13H12O4S;264;2.14;4.23;-6.67;18.10;0
Oc1c(O)cc(c(c1)C=C)C/C=C\CO;28/000000207;InChI=1S/C12H14O3/c1-2-9-7-11(14)12(15)8-10(9)5-3-4-6-13/h2-4,7-8,13-15H,1,5-6H2/b4-3-;C12H14O3;206;1.66;4.15;-6.35;2.22;0
